name, in, out
Conv_292, inception_4b/output_1 inception_4c/1x1/bn/sc_2 inception_4c/double3x3_reduce/bn/sc_2 inception_4c/3x3/bn/sc_2, inception_4c/3x3/bn/sc_2 inception_4c/1x1/bn/sc_2 inception_4c/double3x3a_1 inception_4b/output_1
BatchNormalization_293, inception_4c/3x3/bn/sc_2 inception_4c/double3x3a_1 inception_4c/1x1/bn/sc_2 inception_4b/output_1, inception_4b/output_1 inception_4c/double3x3a/bn_1 inception_4c/3x3/bn/sc_2 inception_4c/1x1/bn/sc_2
Unsqueeze_294, inception_4c/1x1/bn/sc_2 inception_4c/3x3/bn/sc_2 inception_4c/double3x3a/bn_1 inception_4b/output_1, inception_4c/1x1/bn/sc_2 inception_4c/double3x3a/bn_1 inception_4b/output_1 OC2_DUMMY_80 inception_4c/3x3/bn/sc_2
Mul_295, inception_4c/1x1/bn/sc_2 inception_4c/double3x3a/bn_1 OC2_DUMMY_80 inception_4b/output_1 inception_4c/3x3/bn/sc_2, inception_4c/1x1/bn/sc_2 inception_4c/double3x3a/bn/sc_internal_1 inception_4b/output_1 inception_4c/3x3/bn/sc_2
Unsqueeze_296, inception_4c/double3x3a/bn/sc_internal_1 inception_4b/output_1 inception_4c/1x1/bn/sc_2 inception_4c/3x3/bn/sc_2, OC2_DUMMY_81 inception_4c/double3x3a/bn/sc_internal_1 inception_4c/3x3/bn/sc_2 inception_4b/output_1 inception_4c/1x1/bn/sc_2
Add_297, inception_4b/output_1 OC2_DUMMY_81 inception_4c/3x3/bn/sc_2 inception_4c/1x1/bn/sc_2 inception_4c/double3x3a/bn/sc_internal_1, inception_4c/3x3/bn/sc_2 inception_4c/1x1/bn/sc_2 inception_4b/output_1 inception_4c/double3x3a/bn/sc_1
Relu_298, inception_4c/1x1/bn/sc_2 inception_4c/double3x3a/bn/sc_1 inception_4c/3x3/bn/sc_2 inception_4b/output_1, inception_4c/double3x3a/bn/sc_2 inception_4c/3x3/bn/sc_2 inception_4b/output_1 inception_4c/1x1/bn/sc_2
Conv_299, inception_4b/output_1 inception_4c/3x3/bn/sc_2 inception_4c/double3x3a/bn/sc_2 inception_4c/1x1/bn/sc_2, inception_4c/1x1/bn/sc_2 inception_4c/double3x3b_1 inception_4b/output_1 inception_4c/3x3/bn/sc_2
BatchNormalization_300, inception_4c/3x3/bn/sc_2 inception_4c/1x1/bn/sc_2 inception_4b/output_1 inception_4c/double3x3b_1, inception_4c/3x3/bn/sc_2 inception_4c/1x1/bn/sc_2 inception_4c/double3x3b/bn_1 inception_4b/output_1
Unsqueeze_301, inception_4c/3x3/bn/sc_2 inception_4c/double3x3b/bn_1 inception_4c/1x1/bn/sc_2 inception_4b/output_1, OC2_DUMMY_82 inception_4c/double3x3b/bn_1 inception_4c/1x1/bn/sc_2 inception_4b/output_1 inception_4c/3x3/bn/sc_2
